numfac|item|codart|descrip|cantidad|precio|desc|tot_ren|emision|grupo
D0010315|25100-4Z000-SE||BOMBA AGUA KIA PREGIO 3.0 SEONG|1.0000|25.7500|0.0000|25.7500|20240108|PREGI
D0010315|57700-1C000-SEO||CAJETIN HIDRAULICO GETZ 1.6|2.0000|310.1900|0.0000|620.3800|20240108|ELGTZ
D0010315|57700-FD201-SEO||CAJETIN HIDRAULICO KIA RIO STYLUS|1.0000|275.8600|0.0000|275.8600|20240108|RIO
D0010315|25281-37120-SE||TENSOR CORREA UNICA SPORTAGE 2.7 SEONG|1.0000|18.0300|0.0000|18.0300|20240108|SPTFE
D0010315|24410-2X701-SE||TENSOR TIEMPO KIA RIO 1.5 SEONG|2.0000|9.2700|0.0000|18.5400|20240108|RIO
D0010315|25460-26000-SEO||TUBO AGUA ELANTRA/GETZ SEONG|4.0000|8.5000|0.0000|34.0000|20240108|ELGTZ
D0010315|25461-22024-SE||TUBO AGUA HYUNDAI ACCENT SEONG|2.0000|15.4500|0.0000|30.9000|20240108|ACCEN
D0010315|25460-23000-SEO||TUBO AGUA TUCSON SEONG|4.0000|8.5000|0.0000|34.0000|20240108|TUCSO
D0010315|23124-26011||DAMPER GETZ|2.0000|32.9600|0.0000|65.9200|20240108|ELGTZ
D0010315|HDK-073-KP||KIT DE EMBRAGUE ELANTRA 2.0 KP|2.0000|60.8700|0.0000|121.7400|20240108|ELGTZ
D0010315|82620-1C020||MANILLA INT. RH GETZ|10.0000|6.5200|0.0000|65.2000|20240108|ELGTZ
D0010315|51720-2D100||RODAMIENTO DELANTERO ELANTRA XD|8.0000|16.7200|0.0000|133.7600|20240108|ELGTZ
D0010315|24410-23400||TENSOR TIEMPO ELANTRA 2.0 LISO|4.0000|21.5300|0.0000|86.1200|20240108|ELGTZ
D0010315|3925023500||SENSOR DETONACION TUCSON ELANTRA|3.0000|22.7400|0.0000|68.2200|20240108|TUCSO
D0010315|42700-39055-SE||SENSOR PARE NEUTRO TUCSON|2.0000|30.9000|0.0000|61.8000|20240108|TUCSO
D0010315|22410-23100-SE||TAPA VALVULA TUCSON SEONG|1.0000|61.8000|0.0000|61.8000|20240108|TUCSO
D0010314|KITGTZ020||KIT PISTON Y ANILLO GETZ 1.6 0.20 (0.50)|4.0000|60.8200|0.0000|243.2800|20240108|ELGTZ
D0010314|KITSPORT020||KIT PISTON Y ANILLO SPORTAGE 2.7 0.20(0.50) SEONG|4.0000|119.4800|0.0000|477.9200|20240108|SPTFE
D0010314|41421-02000-K||COLLARIN KIA PICANTO|4.0000|12.5400|0.0000|50.1600|20240108|PICAN
D0010314|41510-07120||GUAYA CLUTCH PICANTO|5.0000|10.5000|0.0000|52.5000|20240108|PICAN
D0010314|21020-02500||JGO. CONCHA BANCADA PICANTO STD|4.0000|12.3000|0.0000|49.2000|20240108|PICAN
