numfac|cliente|nomcli|tipo|codven|emision|tot_fac|vence|numped
D0010313|00000470|AUTOREPUESTOS D.F.I, C.A (AUTOREPUESTOS D.F.I, C.A)||02|20240108|1059.7000|20240207|
D0010314|00000360|INVERSIONES AUTOKAT 2016, C.A||01|20240108|2104.2700|20240207|
D0010315|00000730|INVERSIONES MODELO C.A.||25|20240108|1722.0200|20240207|
D0010316|00000060|REPUESTOS COVECA CA||01|20240108|258.1200|20240207|
D0010317|00000051|REYREP, C.A.||19|20240108|1225.3500|20240207|
D0010318|00000051|REYREP, C.A.||19|20240108|374.1700|20240207|
D0010319|00000644|AUTOPARTES SJV,C.A||19|20240108|668.0700|20240207|
D0010320|00000555|AUTO REPUESTOS MODICA, C.A (AUTO REPUESTOS MODICA, C.A)||02|20240108|1132.9600|20240207|
D0010321|00000100|EL REY DEL KIA 2013, C.A.||25|20240108|481.7000|20240207|
D0010322|00000703|SERVIREPUESTOS CAGUA, C.A.||02|20240108|567.4100|20240207|
D0010323|00000403|G.C AUTOPARTES C.A||29|20240108|893.2600|20240207|
D0010324|00000727|AUTO PARTES EL MAESTRO, C.A.||35|20240108|947.2700|20240207|
D0010325|00000727|AUTO PARTES EL MAESTRO, C.A.||35|20240108|188.5200|20240207|
D0010326|00000048|REPUESTOS EL MILENIUM C.A||34|20240108|586.0500|20240207|
D0010327|00000662|AUTOREPUESTOS CHEVY CENTER, C.A||02|20240108|826.4600|20240207|
D0010328|00000355|AUTOPARTES DOCARS, C.A||01|20240108|1428.4100|20240222|
D0010329|00000355|AUTOPARTES DOCARS, C.A||01|20240108|112.2000|20240222|
D0010330|00000716|TABUA AUTO PARTES, C.A.||02|20240109|1527.5700|20240223|
D0010331|00000716|TABUA AUTO PARTES, C.A.||02|20240109|1254.8300|20240223|
D0010332|00000716|TABUA AUTO PARTES, C.A.||02|20240109|508.5200|20240223|
D0010333|00000537|AUTO PARTES ANDRY, C.A. (AUTO PARTES ANDRY, C.A.)||02|20240109|514.4700|20240208|
D0010334|00000537|AUTO PARTES ANDRY, C.A. (AUTO PARTES ANDRY, C.A.)||02|20240109|341.8400|20240208|
D0010335|00000081|DISTRIBUIDORA R Y M C.A||30|20240109|608.7600|20240208|
D0010336|00000081|DISTRIBUIDORA R Y M C.A||30|20240109|152.1800|20240208|
D0010337|00000414|AUTOREPUESTOS CONTINENTAL,C.A.||02|20240109|599.1400|20240223|
D0010338|00000563|AUTOREPUESTOS CHUCHI CARS1, C.A. (AUTOREPUESTOS CHUCHI CARS1, C.A.)||01|20240109|1032.1000|20240208|
D0010339|00000563|AUTOREPUESTOS CHUCHI CARS1, C.A. (AUTOREPUESTOS CHUCHI CARS1, C.A.)||01|20240109|477.3000|20240208|
D0010340|00000268|AUTOPARTES DE LISLE, C.A||04|20240109|1016.8600|20240208|
D0010341|00000060|REPUESTOS COVECA CA||01|20240109|60.7500|20240208|
D0010342|00000014|AUTOPARTES LA ISLA C.A.||21|20240109|350.6400|20240208|
D0010343|00000555|AUTO REPUESTOS MODICA, C.A (AUTO REPUESTOS MODICA, C.A)||02|20240109|156.2600|20240208|
D0010344|00000421|REPUESTOS PANA MIO, C.A. (REPUESTOS PANA MIO, C.A.)||21|20240109|1281.2800|20240208|
D0010345|00000421|REPUESTOS PANA MIO, C.A. (REPUESTOS PANA MIO, C.A.)||21|20240109|440.5300|20240208|
D0010346|00000716|TABUA AUTO PARTES, C.A.||02|20240109|79.8000|20240223|
D0010347|00000060|REPUESTOS COVECA CA||01|20240109|3338.2800|20240309|
