numfac|cliente|nomcli|tipo|codven|emision|tot_fac|vence|numped
D0014445|00000500|REPUESTOS SUPER SHAI,C.A (REPUESTOS SUPER SHAI,C.A)||06|20250107|109.3900|20250206|
D0014446|00000561|AUTOPARTE MICHELENA 2021, C.A. (AUTOPARTE MICHELENA 2021, C.A.)||19|20250107|121.9000|20250206|
D0014447|00000560|REPUESTOS SUPER PANTEON, C.A||06|20250107|91.9100|20250206|
D0014448|00000219|INVERSIONES SUPER JUNIN 1212, C.A||06|20250107|160.4000|20250206|
D0014449|00000621|REPUESTOS SUPER CASANOVA. C.A||06|20250107|54.4900|20250206|
D0014450|00000596|REPUESTOS SUPER SHAYA, C. A.||06|20250107|23.1800|20250206|
D0014451|00000596|REPUESTOS SUPER SHAYA, C. A.||06|20250107|13.1900|20250206|
D0014452|00000500|REPUESTOS SUPER SHAI,C.A (REPUESTOS SUPER SHAI,C.A)||06|20250108|45.4100|20250222|
D0014453|00000561|AUTOPARTE MICHELENA 2021, C.A. (AUTOPARTE MICHELENA 2021, C.A.)||19|20250108|284.2600|20250207|
D0014454|00000500|REPUESTOS SUPER SHAI,C.A (REPUESTOS SUPER SHAI,C.A)||06|20250108|65.7800|20250222|
D0014455|00000219|INVERSIONES SUPER JUNIN 1212, C.A||06|20250108|26.6600|20250222|
D0014456|00000219|INVERSIONES SUPER JUNIN 1212, C.A||06|20250113|73.4300|20250212|
D0014457|00000500|REPUESTOS SUPER SHAI,C.A (REPUESTOS SUPER SHAI,C.A)||06|20250113|72.3000|20250212|
D0014458|00000621|REPUESTOS SUPER CASANOVA. C.A||06|20250113|367.1700|20250212|
D0014459|00000403|G.C AUTOPARTES C.A||19|20250113|220.7800|20250212|
D0014460|00000727|AUTO PARTES EL MAESTRO, C.A.||35|20250113|407.7700|20250212|
D0014461|00000500|REPUESTOS SUPER SHAI,C.A (REPUESTOS SUPER SHAI,C.A)||06|20250113|72.8500|20250212|
D0014462|00000268|AUTOPARTES DE LISLE, C.A||04|20250113|657.6800|20250212|
D0014465|00000445|MULTIREPUESTOS GABRIEL, C.A (MULTIREPUESTOS GABRIEL)||21|20250113|808.6700|20250212|
D0014466|00000193|EUROASIATICOS, C.A||30|20250113|622.4700|20250212|
D0014463|00000445|MULTIREPUESTOS GABRIEL, C.A (MULTIREPUESTOS GABRIEL)||21|20250113|636.7800|20250212|
D0014464|00000445|MULTIREPUESTOS GABRIEL, C.A (MULTIREPUESTOS GABRIEL)||21|20250113|1202.8000|20250212|
D0014467|00000621|REPUESTOS SUPER CASANOVA. C.A||06|20250113|281.4300|20250212|
D0014468|00000753|PEDRO CONTRERAS||19|20250113|415.3900|20250212|
D0014469|00000710|VENEREPUESTOS YJJ, C.A.||19|20250113|10.6400|20250128|
D0014470|00000500|REPUESTOS SUPER SHAI,C.A (REPUESTOS SUPER SHAI,C.A)||06|20250113|153.3900|20250212|
D0014471|00000163|DEL.CAST IMPORT, C.A||12|20250113|313.5700|20250212|
D0014472|00000720|AUTO REPUESTOS Y LUBRICANTES EDUARDO C A||33|20250113|544.2800|20250212|
D0014474|00000088|REPUESTOS ASIATICOS ACARIGUA, C.A.||01|20250113|216.1500|20250212|
D0014481|00000331|ASIATICOS PENINSULA, C.A||04|20250115|385.5500|20250214|
D0014483|00000421|REPUESTOS PANA MIO, C.A. (REPUESTOS PANA MIO, C.A.)||21|20250115|819.9100|20250214|
D0014484|00000090|REPUESTOS FRED CARS, C.A.||02|20250115|445.3200|20250214|
D0014486|00000730|INVERSIONES MODELO C.A.||25|20250115|879.2300|20250214|
D0014487|00000707|AUTOPARTES KOREA JAPON C.A.||25|20250115|681.7000|20250214|
D0014489|00000470|AUTOREPUESTOS D.F.I, C.A (AUTOREPUESTOS D.F.I, C.A)||02|20250115|539.0800|20250214|
D0014480|00000555|AUTO REPUESTOS MODICA, C.A (AUTO REPUESTOS MODICA, C.A)||02|20250115|1034.2200|20250214|
D0014475|00000793|AUTOPARTES DOCARS 909, C.A||06|20250113|699.2500|20250212|
D0014476|00000793|AUTOPARTES DOCARS 909, C.A||06|20250113|1486.1900|20250212|
D0014477|00000793|AUTOPARTES DOCARS 909, C.A||06|20250113|865.1500|20250212|
D0014478|00000793|AUTOPARTES DOCARS 909, C.A||06|20250113|914.2900|20250212|
D0014490|00000466|AUTO REPUESTOS HYUNDAI, C.A (AUTO REPUESTOS HYUNDAI, C.A)||33|20250115|640.6700|20250214|
