numdevo|cliente|nomcli|emision|estatus|numfac|tot_devo|codven|almacen
DV000001|00000588|REPUESTOS WYDA MOTORS, C.A (REPUESTOS WYDA MOTORS, C.A)|20230630|PE||12.5200|02|05
DV000002|00000662|AUTOREPUESTOS CHEVY CENTER, C.A|20230630|OK||95.9000|02|01
DV000003|00000621|REPUESTOS SUPER CASANOVA. C.A|20230630|OK||10.0800|01|05
DV000004|00000448|INVERSIONES 297, C.A. (INVERSIONES 297, C.A.)|20230630|OK||125.5200|21|01
DV000005|00000278|AUTO REPUESTOS WS, C.A|20230703|OK||14.0000|04|05
DV000006|00000233|REPUESTOS Y SERVICIOS MECANICOS LUCHO C.A|20230703|OK||75.6400|04|01
DV000007|00000233|REPUESTOS Y SERVICIOS MECANICOS LUCHO C.A|20230703|OK||107.4400|04|01
DV000008|00000393|CARS PARTS SUR, C.A|20230703|OK||40.9100|04|05
DV000009|00000502|CASA ESTER IMPORTACIONES, CA ("PK AUTOPARTES")|20230703|OK||18.0000|04|01
DV000010|00000631|DORAUTO IMPORTS, C.A|20230703|OK||51.4200|02|01
DV000011|00000498|AUTO PARTES SAHARI 2012, C.A (AUTO PARTES SAHARI 2012, C.A)|20230703|OK||24.0000|19|05
DV000012|00000390|AUTOREPUESTO SILDEMAR MVR C.A|20230703|OK||15.0000|29|05
DV000013|00000132|REPUESTOS KOREA PARTS, C.A|20230703|OK||22.0800|02|05
DV000014|00000699|REDDY MOTOR S CA|20230704|OK||45.8800|21|01
DV000015|00000679|KORE PARTS, C.A|20230704|OK||107.3300|01|01
DV000016|00000470|AUTOREPUESTOS D.F.I, C.A (AUTOREPUESTOS D.F.I, C.A)|20230704|OK||19.9300|02|05
DV000017|00000140|JOSE LUIS GOMEZ MAUHAD(INVERSIONES AGUA FRIA J.G-1)|20230704|OK||374.1800|30|01
DV000018|00000198|AUTOTIENDA VELOCITY SERVICES, C.A|20230706|OK||23.8500|01|05
